Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point
D03,SYBR,mCherry,Unkn-15,99-15,,21.47314058,21.40270987,0.066143237,22275.47449,4.347826964,23375.39645,1038.276557,67
D04,SYBR,mCherry,Unkn-16,99-16,,21.01174429,21.10514819,0.095451888,30413.77807,4.483070373,28595.11526,1837.539329,67
D05,SYBR,mCherry,Unkn-17,99-17,,28.69971373,28.94086418,0.209160592,169.6643549,2.22959061,145.1651072,21.24217801,67
D06,SYBR,mCherry,Unkn-18,99-18,,28.4288651,28.55407559,0.116967388,203.6953589,2.308981134,187.5802114,14.9328563,67
E01,SYBR,mCherry,Unkn-13,99-13,,23.79343407,23.88613192,0.123468696,4652.730739,3.66770792,4380.539025,357.1966959,67
E02,SYBR,mCherry,Unkn-14,99-14,,24.02436368,24.05461082,0.103926219,3981.240088,3.600018368,3907.128564,270.0290806,67
E03,SYBR,mCherry,Unkn-15,99-15,,21.39307898,21.40270987,0.066143237,23512.26303,4.371294431,23375.39645,1038.276557,67
E04,SYBR,mCherry,Unkn-16,99-16,,21.10117622,21.10514819,0.095451888,28632.30377,4.456856293,28595.11526,1837.539329,67
E05,SYBR,mCherry,Unkn-17,99-17,,29.04990691,28.94086418,0.209160592,133.9500251,2.126942799,145.1651072,21.24217801,67
E06,SYBR,mCherry,Unkn-18,99-18,,28.66053422,28.55407559,0.116967388,174.210697,2.241074818,187.5802114,14.9328563,67
F01,SYBR,mCherry,Unkn-13,99-13,,23.83867333,23.88613192,0.123468696,4512.814613,3.654447493,4380.539025,357.1966959,67
F02,SYBR,mCherry,Unkn-14,99-14,,23.96916356,24.05461082,0.103926219,4132.36332,3.616198498,3907.128564,270.0290806,67
F03,SYBR,mCherry,Unkn-15,99-15,,21.34191006,21.40270987,0.066143237,24338.45182,4.386292949,23375.39645,1038.276557,67
F04,SYBR,mCherry,Unkn-16,99-16,,21.20252406,21.10514819,0.095451888,26739.26392,4.427149448,28595.11526,1837.539329,67
F05,SYBR,mCherry,Unkn-17,99-17,,29.07297191,28.94086418,0.209160592,131.8809418,2.12018204,145.1651072,21.24217801,67
F06,SYBR,mCherry,Unkn-18,99-18,,28.57282746,28.55407559,0.116967388,184.8345783,2.266783221,187.5802114,14.9328563,67
