"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
376476,288731,1335.21,257716,150627,268.1,1182.3,267.4,1092.5,2973.2,1840.6,7368.6,4196.5,1528.3,906,3594.1,2353.2,536.3,398.4,434.7,519,534.4,539.3,2310.3,1785.1,5184.4,3304.4,3766.2,2650.8,1025.2,702.1,0.508199
253164,237243,1092.73,192670,121308,95,728.1,-393.9,783.9,1205.9,1234.9,2710.9,2005.9,730.7,630.4,1862.2,1343.7,99.4,216.6,169,396.3,340,403,901.7,842.7,2193.4,1486.3,1790.7,1273.9,375.8,443.8,0.513317
159233,227508,716.711,206089,142265,217.4,1256.2,68.2,725.2,627.7,606,1782,1168.7,234.3,664.9,2535.6,2153.1,302.1,307.2,375.2,433.2,216.7,409.1,1037.3,890.1,3233.7,2328.4,3839,2682.9,642.3,556.7,0.513497
202145,220538,938.602,206809,138217,-45.9,827.2,187.6,897,747.8,922.4,2169.5,1572.6,448,596.6,3795.3,2692.1,475.1,366.9,471.3,555.9,278.4,396.6,243,653.5,2883.2,2381,3880.2,2950,611.3,474.8,0.515937
325169,280517,1187.02,314883,178770,482.9,1084.8,744.1,1211.7,5040.3,3354.3,9819,6047.9,2161.4,1552.7,6423.6,4074.2,1090,561.1,1066.6,755.2,757.8,587.1,4201.5,2605.5,8908.6,5312.7,6416.4,3908.9,1096.3,924.7,0.519835
196898,275420,732.069,296096,190287,375.5,1167.4,310.1,924.8,2212.7,1535.3,4422,2762.7,1468.1,948.7,4797.6,3603.1,439.9,441.4,543.9,400.4,500,410.5,1421.4,858.3,5095.2,3104,8905.1,5309.1,1885.3,1232,0.520895
349678,237667,1506.62,195726,131323,482.6,1070.3,-0.1,972.5,1211.2,1072.6,3461.1,2292.5,820.3,594,2957.6,2393.2,38.8,326.4,450.7,743,201.9,307.3,1137.8,1033.1,3593.4,2520.4,2319.7,1962.8,543.2,598.1,0.523054
245255,214275,1172.06,222133,160322,386.5,1213.1,198.8,918.5,1525.1,1201.4,3403.9,2327.3,714.6,817,4062.9,3266.4,178.8,474.3,285.4,390,137.2,395.7,1380.2,1112.3,3602.3,2998.2,3446.5,2299.9,891.4,723,0.525633
250403,221947,1155.3,232462,143260,350.5,688.1,88.6,983.9,1439.9,1130.9,3148.4,2005.9,721.2,494.4,2587.2,1927.7,514.9,464.6,351.5,308.3,80.5,299,1129.2,994.7,3327.9,1950.3,3693.7,2353.9,925.3,555.8,0.526193
351931,285859,1260.69,289326,168562,337.1,1330.6,298.6,933.7,2349.1,1812.3,6140,3659.3,1650,1106.3,5851.9,4324.5,1248.4,886,1108.3,635.2,680,537.5,2030,1303,5477.5,3476.2,6176.7,3881,1323.4,948.9,0.532611
254486,269269,967.796,218232,138258,2186.9,2156.8,949.1,1435.7,15143.3,9514.3,28724,17847.9,5838.9,3728.7,9221.6,6362.2,716,625.1,801.1,603.2,514.8,443.1,9944.5,6501.5,15273.6,10112.7,5604.9,3332.9,1311.8,1052.7,0.768077
283962,254221,1143.82,195165,128732,382.8,1402.1,16.7,921,2615.6,1852.4,5502.2,3671.4,1044,736.7,3292,2290.2,823.7,447.6,801.7,536.4,246.9,294.8,1993.9,1501.2,3806.4,2934,3176.2,2212,542.1,595.8,0.777294
423421,299476,1447.82,365747,209295,776.8,874.3,365.8,800.7,2160.6,1480.7,5129.2,3304,949.4,782.4,5263.2,3959.4,264.6,817.4,773.6,694.6,784.8,452.1,1045.3,975.1,5577,3217.5,5684.5,3761.2,1250.2,885.5,0.779293
268290,276652,993.061,477547,272838,784.3,943.5,190.2,1154.6,2486.7,1936.3,7311.6,4724.6,2046.2,1692.3,11290.3,8743.2,1437.2,1359.3,1206.3,928.8,940,998.5,1184.3,1074.4,5776.4,3911.9,8052.4,5766.4,2383.4,1584.8,0.781832
270266,246901,1120.92,256984,145867,700.5,1304.7,618,1084.8,11594.3,6968.6,22287,13244,4429.2,2838.5,9497.1,6333.2,211.4,438.2,218,454.1,565.6,478.4,7738.3,4700.6,11818.5,7442.2,5840.9,3739.8,1095.6,871.6,0.78861
151951,264453,588.385,413309,214265,538.9,898,358.7,1209.5,4566.3,2994.3,8411.2,5086.4,1696.2,1095.5,5058,3015.8,923.8,561.6,454.8,499.5,452.8,462.5,2496.8,1977.8,5417.7,3034.8,3921.7,2358.6,987.8,576.3,0.795468
