"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
244282,255780,977.982,242072,157877,839.1,1180,255.6,893.2,-194.5,272.3,705.6,506.8,255.6,229.3,2891.2,1954.7,340.7,446,744.4,439.3,417.3,381.5,3361.2,2445.7,6256.1,4111.1,3210.9,2269.7,698.6,621.9,0.541197
419183,281406,1525.38,336059,216629,535.4,938.6,-72.5,1020,268.4,374.1,1165.2,829.2,209.1,477.5,3894.4,3096.6,736.7,667.9,358.6,554.3,545,496.6,2653.9,2034.3,6642.9,4428.4,4906.3,3333.3,1322.5,1136.6,0.542565
401481,280986,1463.13,354856,231606,1036.6,867.3,447.6,808.8,152.6,424.6,1354.1,1090.5,263.6,479.9,5041.4,3475.9,492.4,509.9,773.7,515.6,424.8,439.4,6030.1,3965.8,11090.3,6823.6,7162.8,4798.5,1255.6,976.2,0.542783
448002,301436,1521.91,314628,184362,1802.6,1532.6,-171.1,1104.9,205.1,414,783.7,520.8,4.2,300.2,3176.4,2347.4,824,597.9,522.9,381,43.1,384.2,15625.9,9383.8,22632.9,13745.8,6999.1,4220.9,1518.7,891.1,0.543219
309252,264595,1196.84,271711,166628,305.2,1122.3,-47.8,1089.3,45.7,439.4,979.2,620.4,475.7,469.5,2870.6,2000.8,550.9,395.2,356.1,407.7,798.5,581.4,1413.2,1291.3,4445.3,3217.7,3739.1,2070,664.7,680.7,0.54534
385360,291653,1353.03,475484,275643,943.3,1397,438.3,734.9,57.5,517.3,1627.9,1263.1,285.4,414.5,4797,2991.3,810.1,680.2,678,511.5,767.9,583.3,10433.9,6050.1,16954.3,9726.3,7919.1,4668.8,1338.7,937.3,0.545499
217713,274932,810.896,298448,184889,741.8,1149,-330.3,864.5,362.9,553,1213.5,736.9,275.6,524.1,3834.3,2348.2,344.1,500.6,548.3,425.9,640.1,541.3,4459,2830.5,8441.9,5028.9,4608.4,2831.8,821.8,765.6,0.545717
299051,249653,1226.64,225669,150079,450.5,949,29.9,650.7,9.7,423.6,811.1,848.5,437.4,452.3,3524,2519,709,502.1,643.8,507.4,256.6,546.2,2379.4,1676.4,4897.5,3674.5,3666.5,2791.8,844.3,836.3,0.547045
419710,297315,1445.56,293493,180704,-86.2,1146.2,-210.5,724.3,268,458.3,1435.8,1031.8,326.5,331.3,3399.5,2256.2,306.8,521.2,672,524.8,122.2,392.5,2128.6,1497.7,5680.3,3751,4645.5,3304.3,978,780.2,0.547204
192959,236851,834.246,181828,122280,378.9,1174.5,216.9,1284.8,176.4,452.6,482.6,655.4,387,369,2396.3,1846.7,280,518.6,667.5,485.6,-18.2,317.4,5074,3510.1,8208.4,5751.6,3790.2,2817.2,1125.4,731.4,0.549246
422782,299500,1445.52,311404,177994,563.3,1026,-21.8,891.9,361.1,362.6,1223.4,1002.2,684,503.1,4700.1,3081.3,425.5,598.1,927.6,532.9,653,697.9,5460.2,3296.3,9664.7,5892.5,5078.3,3153.7,1269.8,747,0.549999
276795,271470,1044.11,282081,160708,1073.6,1053.4,412.2,1057.3,276.4,563.6,914.3,791.8,315.9,432.9,2769.4,2213,-105.8,290,302.3,472.3,-144.9,238.3,11601.6,7042.1,16490.5,10407.8,5510.7,3515.1,931.4,896.7,0.551961
359572,286400,1285.65,294674,177978,234.1,790.7,-174.4,1002.5,332.5,528.6,739.5,669,295.4,387.5,2819.6,2082.2,779,703.4,993.1,725,354.6,544.5,3178.8,2062.7,7103.4,4303.8,4539.2,2782.6,1525.6,887.9,0.552338
382050,280146,1396.49,361025,211751,887.7,1076.6,179.8,615.3,132.7,465.2,837.2,743.6,554.6,380.6,4444.1,2829,570.1,513.9,570.4,481.3,1598.8,981.8,7297.5,4320.6,12737,7524.6,6342.1,4034.7,1103,844.3,0.552834
261936,269358,995.803,351206,207572,360.2,787.4,211.7,795.3,259.7,531.5,975.7,980.1,388.6,442.5,4947.2,3364.8,1100.9,628.7,773.8,471.1,566.1,484.9,3643.5,2210,7805.6,4702.2,6310.2,3820.1,1413.7,939.6,0.553448
347794,268997,1323.98,315846,217132,715.2,1462,-123.8,807.9,236.4,432.7,984.2,612.1,137.1,356.8,2477.4,1823.2,901,561.4,665.7,413.5,5.5,239.6,4108.9,2874.6,6983.4,4934.7,3866.1,2852.2,815.2,688.1,0.555232
207883,230146,924.948,208195,149683,500.9,1346.5,18.6,747.7,96.5,404,616.2,572.3,159.8,200.6,1933.9,1485.4,683.7,476.7,457.7,333.2,90.7,350,3075.3,2408.6,5623.3,4095,2852.1,2261.6,551.2,703.9,0.555748
311403,235548,1353.79,181135,123610,627.9,1184.8,-32.1,1200.6,56.8,705.1,559,701.5,3.7,201.7,2366.7,1989.5,179.6,456.8,439.7,628.6,348.5,444.3,6664.5,4351.7,10493.1,7224.6,3717.5,2701.7,592.1,816.7,0.555827
386452,281800,1404.28,311791,183595,181.7,1113.5,-26.7,811.8,281.1,478.1,2123.3,1544.5,703.8,648.4,7518.5,5477,1442.3,1132.9,1266.1,1285.9,1615.4,1247.2,3325.8,2317.6,7713.4,4826,7152.5,4392.1,2380.8,1519.9,0.557115
315040,282128,1143.45,315531,202886,1232.4,1300.5,84.4,571.2,371.9,566.1,795.4,801.3,378.2,478,3251.9,2475,825.1,692.8,561.1,505.5,-124,373.4,6666.9,4270.7,11482.8,7101.2,4945.5,3314.6,1061.7,711.9,0.557552
356774,274454,1331.17,213385,146150,509.5,1378.8,-29.8,891.3,279.6,419.7,929.3,687,209.3,294.7,2483.2,1981,213,469.8,359.3,597,109.6,396,1818.4,1620.2,4719.9,3280.9,3569.6,2593.3,849.3,754,0.557908
229123,243228,964.631,187812,122160,2247.9,2314.9,-344.8,895.4,-54.4,369.9,578.3,511.7,196.7,333.8,3222.2,2322.6,450.7,663.5,345.9,522.3,467,416.7,15349.5,10109,22180.2,14211.8,5913.7,3686.4,1267.7,726.1,0.557908
268156,251798,1090.55,235963,164982,488.7,925,-19.3,1139.3,181.9,357.7,820.9,906.3,487.5,503.4,2893.6,2476.4,567.7,473,650.2,476.3,767.5,606.9,1779.2,1232.6,4296.5,3156.9,3244.4,2711.4,795.9,674,0.559534
