"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
231915,262251,905.555,206997,138235,-179,795.9,-10.8,768.1,70,515.7,562.4,540.1,272.9,301.5,1794.8,1363.8,386.2,389.3,281.6,446.7,160,267.4,264,691.4,2170.1,1780.9,2681.6,1772.5,514.8,491.9,0.160392
359089,275496,1334.75,315327,204664,330.6,1007.6,-106.8,941.1,546.4,477.5,1436.1,993.8,439.2,396.7,3933.9,3141.6,623.5,383,791.4,773.4,627.3,428.5,402.2,571.4,2540.6,1886,3945.9,2615,909,551.3,0.161503
248888,246493,1033.97,240743,154049,601.4,1147.9,16.1,1166,249.2,447,540.2,490.4,197.2,352.5,3094.5,2192,394.4,580.2,213.1,373.9,258.6,321.1,236,526.3,2374.9,1885,3715.8,2473,948.1,665.4,0.164736
320816,274163,1198.26,323150,197929,422.2,893.6,-30.7,854.8,124.9,358,1119.9,845.7,87.2,310.7,5115,3222,288.8,462.6,976.1,674.2,785.7,654.1,481.8,764.8,3235.7,2142.9,4382.9,2582.1,1085.9,755.4,0.165489
356507,271680,1343.76,257675,162662,348,1242.4,6.4,1198.1,150.6,520.4,265.5,491.3,319.8,311.7,1510.7,982.5,598.6,447,607.8,433.9,-221.8,224,436.2,424.1,1839.9,1594.9,2816.2,1923,405.4,463.3,0.165628
296114,276308,1097.42,277479,163236,726.3,842.4,-49.9,717.3,-3.4,291.2,739.1,591.5,168.2,268.8,2484.2,1742.8,440.5,637,755.7,534.2,327.4,519.5,241.4,538.2,1924.3,1356.8,2770.7,1647.4,722.9,742.1,0.167036
328139,280206,1199.19,311057,175950,126,929.8,318.9,1218.5,219.6,337.9,561.6,747.7,443.5,352.1,3258.6,2080.6,699.6,456.5,499.3,365.4,176.3,371.1,371.9,530.8,2945.5,2147.9,4066,2396.1,1005.1,701.4,0.170626
336423,274257,1256.12,261537,165923,28.3,1012.9,147.7,958.6,205.9,404.7,907.6,649.3,258.4,473.7,1854.5,1736,458.3,549.7,257.6,479.5,222.3,607,367.8,645.2,2447,2073.4,2723,2209.1,705.9,622.4,0.171261
151078,216764,713.708,203008,138390,609.5,1400.7,0.9,1105.3,626.5,558.8,1857.9,1373,553.1,586.8,5825.1,3916.6,599.5,464.7,259.7,292.9,190.2,439,510.8,511.6,4443.6,2758.4,9026.4,6064.4,2120,1481.1,0.174395
219669,260836,862.398,187828,134604,108.7,1084.4,-119.3,1061.3,145.8,476.7,720.7,665.7,212,241.2,2595.5,2286.8,356.5,466.1,265,368.2,453.4,784.8,706.5,576.1,2515,1827.8,3104.5,2354.4,705.4,463.8,0.176993
