"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
173879,210792,844.681,195966,137499,979.9,1658.9,485.4,857.8,9493.9,6038.1,17771.3,11323.9,3583.7,2176.3,7314.2,5163.2,395.2,784.5,484.2,569,630.2,462.5,521.7,434.3,1978.5,1474.6,3186.1,2388.9,910.7,676.3,1.02028
370664,287145,1321.85,358193,226230,672.7,1149.5,-17,1052.2,7627.7,4549.2,15072.1,8848.3,3222.1,1862,6176.3,4188.3,96.8,495.9,404.7,547.4,741.8,598.3,411.7,607.8,3239.1,2200.9,5006,2849.4,1088.1,773.8,1.02217
247178,290133,872.407,392560,249764,1076.7,1280.9,1387.9,1347.3,30888,16581.7,59143.9,31941.5,11451.8,6358.4,14645.7,8509.5,1063.9,763.8,460.1,488,541.7,481.9,666.8,433.2,3696.6,2407.5,7944.6,4708.8,1742.6,1326.3,1.0286
278204,265199,1074.24,230218,144542,1110.3,1394.1,948.3,1178.5,12380.1,7347.9,23922.1,14035.6,4533.3,2698.9,11322.3,7005.1,1072.6,791.7,1000.1,729.6,790.9,502.8,260.5,522,3126,2247.6,4940.6,3129.4,1152,882.4,1.04941
250981,209313,1227.85,173207,120945,561.2,1154.5,565.3,1180.7,9933.1,6640,19238.3,13074,3560.1,2531.6,8465.3,6096,691.7,739.8,903.5,526.9,702.9,866.8,588.5,559.3,2406.2,2068.8,3639.7,2815,735.4,685.7,1.05095
195575,221306,904.947,190377,137823,2248.4,2191.4,745.3,1327.3,20006.2,13776.3,36791.2,24534.8,7902.2,5364.3,13851.1,10143.5,1118.7,627.6,855.2,581.6,648.5,528.1,377.7,415.4,3328.8,2439.6,4772.3,3868.3,919.9,828,1.06489
321004,291177,1128.89,335071,207255,463.1,948.4,520.6,1208,10348.3,5951.2,19217.9,10479.5,4025.3,2335,9856.2,6228.7,635.4,652.2,637.6,448.5,451.4,438.4,761.5,680.7,4548,3043.8,6220.5,3975.6,1380.8,955.4,1.06629
132500,235147,577.006,357876,212015,793,1897.8,177.5,980.6,6040.6,4015,11470.7,7550.2,2297.9,1648.9,5572.7,3727.9,423.4,642.3,853.7,628.8,288.2,584.2,384.6,529.4,1884.9,1446.3,3052.3,2019.5,526.3,483.9,1.09572
319710,278651,1174.9,290580,173409,740.2,1737.8,570.5,1022.9,9791.3,5641.7,18777.1,10730.3,3987,2305.7,6775.2,4456,290.9,399.6,362.9,401.6,449.9,458.2,556.3,729,3250.6,2263.1,3932.8,2619,971.5,648.3,1.10083
197782,223452,906.375,298265,222208,943.8,1556.9,505.1,885.9,15595.1,10704.3,28222,19250.5,5549.3,3942.8,11217.9,8492.8,1125.2,766.2,804.7,598.9,216.2,381.3,354,686.5,2494.2,1903.8,3306,2673.9,966.2,736.1,1.10544
340633,268372,1299.74,321059,201599,907.4,1781.8,1003.8,1389.4,23543.8,13792.7,43357.7,25554.2,8928.1,5353.1,14487.4,9040.5,953.5,742.3,1284.5,774,779.1,702.4,778.3,852.9,3999.3,2715.4,5935.4,3857.8,1575.4,986.7,1.12631
415328,306080,1389.53,333048,195934,790.4,1421.9,427.3,1153.6,19670.1,11121.3,38614.4,21093.9,8072.2,4453.6,11862.1,7031.9,571.7,593.3,581.2,427.1,629.1,642.2,605.1,771.8,3787.3,2606.8,5821.1,3457.1,1209.8,929.4,1.13623
270955,286066,969.914,396729,252420,612.8,1037.6,679.7,1013.4,13031.8,7469,24631.6,13661.9,5142.6,2870.7,7542.6,4882.2,711.2,689.9,553.1,481.7,639.7,475.7,344.5,539.7,2415.9,1776.8,4281.4,2373.2,850.9,680,1.17242
217341,239991,927.381,222828,142246,473.3,1090.1,425.3,778.5,8136.1,5171.9,15488.6,9619.6,3103.3,1858.9,6839.8,5021.1,837.1,647.7,731.6,625.6,513.4,542.8,362.5,634,2847,2055.6,3592.6,2593.4,815,666.4,1.20152
317034,251422,1291.25,236666,158501,1828.8,1776.9,657.6,874.4,22492.7,14060.1,42101.9,26571.7,7661.9,5003.9,15294.2,10232.4,744,740,972.8,699,631.1,567.2,599,774.3,3240.1,2495.2,4819.7,3217.9,1041.6,804.9,1.20219
301521,295829,1043.72,326006,175653,353.9,703.5,547.5,815.9,13556.1,7277.3,26329.1,14044.7,5314.7,3266.6,8711.6,5037.3,501.4,646,542.8,460.4,704.4,490.4,454.5,481.3,4311.1,2517.7,10040,5877.7,2158.7,1361.6,1.21091
280180,230715,1243.56,290483,182945,802.2,1305.8,503.5,918.9,9104.3,5281.7,17992.6,10026.3,3840,2177.7,8954.2,5560,720.9,599.6,729.9,601.6,419.9,338.2,866.8,745,5414.1,3383.1,12497.8,7139,2696,1648.3,1.23807
283139,222678,1302.06,256939,170812,440.7,1271.4,-259.1,964,2928.6,2133.9,6638.4,4328.8,1389,917.4,2669.4,1877,323.9,524.5,416.9,422.6,126,296.3,167.3,780,1658,1054,1835.2,1282.1,484.1,516.6,1.24936
290570,223302,1332.5,188699,115376,843.7,1149.4,619.2,1104.8,7478.4,4760.2,14991.1,9580.3,2987.7,1892.5,5179.2,3697,617.3,329.2,97.1,437.3,443.8,592.8,417.7,483.1,2617.7,1896.7,3133.3,2406,238.3,567,1.26616
208230,224020,951.838,262573,173897,2100,1814.2,1620,1655.3,33393.3,21087.1,61973.1,38010.7,11932.3,7642.6,18656.5,12457.8,1044.1,673.4,583.8,495.8,566.9,525.9,636.4,752.6,3020.3,2332.8,5259.6,3553.8,1402.6,966.2,1.26998
368106,275207,1369.69,245890,153796,1429.1,1400.2,940.8,1049,27349.1,16160.9,52375,30855.8,10570.6,6539.8,15532.4,10013.8,1035.2,646.9,859.4,558.4,480.7,630.6,718.3,577.9,3854.7,2758.3,5970.2,3924.2,1638.4,1149.7,1.28735
249818,276769,924.287,223073,148262,942.7,1613.5,955.5,1092.2,17524.7,10733.2,33118.6,19968.3,6102.1,4102,12471.3,8332.3,695.8,599.9,552.7,659.4,1117.3,870.3,603.2,623.8,3545.1,2240.9,5589,3593.4,1691.1,1085.8,1.29075
238372,206901,1179.78,193581,154228,1109.7,1736.9,572.4,1059.3,21102,14901.7,39564.4,27437.5,7895.3,5398.4,10038.7,7229.5,186.9,419.8,521.1,432,293.2,433.9,478.3,465.2,2291.6,1559.5,3140.1,2468.8,463.6,582.3,1.29663
328475,277346,1212.78,389330,256021,810.1,1420.4,670,1431.1,16142.3,9811,30443.2,19234.4,6412,3704.2,9773.9,6509,1074.7,1019.8,839.9,590.9,617.4,507.2,754.2,782.3,3548.4,2543.3,5117.1,3443.1,1205.3,822.8,1.33077
249752,243706,1049.41,251532,164759,1440.4,1767.4,1556.3,1183.3,36817.2,23808.3,70353.2,44518.8,13635.7,8836.3,23848.1,15575.5,1061.7,939.6,1242.2,853.6,1124.5,608.1,590.2,583.4,3402.3,2463.6,6902.3,4276.3,1725.4,1204,1.3523
307975,258270,1221.1,230881,157748,220.2,839.4,242.4,916,7790.1,4877.9,15076.4,9464.8,3364,2077.4,5590.9,4109,404.4,516.5,506.4,590.6,507.5,456.3,433.8,492,2377.5,2062,3350.7,2738.1,980.1,652.6,1.37736
