"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
292615,246459,1215.79,269568,188688,7374.67
441558,276607,1634.69,372929,226879,2045.72
361241,257058,1439.03,461709,281060,5879.36
191692,199209,985.36,248428,165819,5131.31
191982,219728,894.695,258062,183600,3998.15
173824,208006,855.746,273312,201420,5393.38
256052,263129,996.459,239700,177506,6720.15
283430,265971,1091.23,246872,170478,5264.03
229770,222297,1058.43,240290,178130,3282.2
301117,270210,1141.13,285220,196665,7578.57
249374,213498,1196.08,299588,189402,2455.56
249639,298419,856.622,270790,192884,4381.54
412909,253126,1670.42,540159,235693,16070.7
362078,300995,1231.82,249438,170161,9145.98
386247,236192,1674.56,202188,132819,5147.98
262648,226209,1188.95,323335,229493,4278.19
322200,277409,1189.34,191815,127979,2141.95
323928,222703,1489.48,353616,234206,2728.95
304170,250002,1245.88,231277,152436,9640.7
245533,183078,1373.37,171988,119764,3091.35
233356,195974,1219.36,189180,135428,590.448
339495,236275,1471.36,265841,168360,2822.16
182655,133751,1398.48,210419,137823,624.869
329710,234159,1441.89,191654,141376,2292.85
452117,320371,1445.11,246994,175700,3180.57
503242,289752,1778.48,434828,302405,5803.02
366412,215528,1740.93,310147,176144,6870.94
190538,172004,1134.37,171502,113923,2357.13
288846,195441,1513.4,198887,123339,4467.76
451768,293026,1578.74,233195,122540,5354.33
299982,211089,1455.23,179363,117195,7217.93
320246,233931,1401.85,247202,162686,1035.22
270296,225587,1226.96,238816,159005,3326.24
300010,250697,1225.43,239524,162108,3235.64
398918,252977,1614.74,463720,268715,22514.9
271032,212208,1307.85,256366,172576,3177.25
242811,198226,1254.33,304825,210469,4515.35
312007,252523,1265.23,272854,186806,3977.55
179862,217115,848.31,320908,214557,8464.76
338222,243055,1424.98,224953,146808,18587.4
266419,208734,1307.02,349856,218252,3620.28
317523,228498,1422.97,273186,188536,8118.87
267685,215976,1269.16,198334,150595,6500.02
365939,283633,1321.15,491322,286466,6095.61
299733,260251,1179.36,309472,199846,5455.6
390676,268870,1487.93,256227,172892,2087.82
419859,296071,1452.17,357419,210844,7219.61
374276,292066,1312.24,461695,291760,4445.42
403155,256353,1610.41,372167,253906,9558.13
266090,225032,1210.83,352715,227939,3499.1
226012,311970,741.856,346079,226417,8603.62
389037,268853,1481.78,399437,262989,33591.5
240078,219818,1118.38,326007,175242,9870.66
286667,258103,1137.36,438752,278468,6946.32
180820,237759,778.793,271966,190490,2198.13
222403,234906,969.501,184185,131378,2940.69
377642,270161,1431.39,428837,259877,5241.91
255024,215220,1213.4,363832,229235,3013.69
244746,208925,1199.59,218662,142353,2557.54
313569,241046,1332.12,284203,211750,856.762
387200,284066,1395.79,264941,178676,7671.49
486775,285982,1743,545368,316548,28912.9
330176,230179,1468.87,238644,148568,7336.08
370249,227844,1664.04,336677,213603,3123.68
477002,290554,1681.11,508927,322072,75358.7
282849,273844,1057.69,445706,272239,18404.3
351420,226936,1585.76,318886,212983,8068.05
307942,205510,1534.44,294004,171540,5798.53
272546,221108,1262.24,288484,191205,3376.13
382175,262191,1492.64,418293,267788,8568.76
311475,261491,1219.75,260168,178068,2004.15
282093,220960,1307.36,244107,166168,7571.06
292407,216700,1381.77,221826,137707,4687.59
264588,258338,1048.78,254045,163415,18058.1
197449,184281,1097.18,177674,125340,3430.91
273141,218622,1279.39,215129,152383,1039.13
307770,271561,1160.54,378899,246555,8956.06
362505,230535,1610.24,257896,170448,5147.68
218450,236864,944.391,352531,191752,2422.77
241598,232488,1064.12,203947,139946,5217.99
406265,267052,1557.83,319856,203014,6103.99
221015,221865,1020.08,232255,153275,4005.17
313757,228205,1407.92,365154,237594,4789.34
398099,277445,1469.34,348442,223253,6096.2
204191,203080,1029.64,328708,212664,6594.11
369726,223706,1692.41,319727,208971,3490.28
396560,256625,1582.38,535472,283646,13904.4
308257,265950,1186.92,365788,218889,8711.32
279612,211278,1355.23,215085,160143,3941.25
300463,251133,1225.17,508768,314948,9786.49
349692,207632,1724.61,322339,205358,4109.32
346962,255907,1388.37,406136,248984,4689.37
240540,236650,1040.84,313204,193736,5626.68
429253,285432,1540,490341,324344,6536.21
200970,195952,1050.27,235988,162110,5470.83
359556,236148,1559.16,297653,213918,10182.8
389167,243059,1639.57,317303,212614,58706.4
409475,254698,1646.29,448390,275351,12437.6
314939,292017,1104.38,338451,235057,4579.72
275607,257206,1097.28,384054,257188,6879.14
188410,223213,864.359,196516,151199,4344.41
266577,240200,1136.45,299145,176552,6375.11
309844,286145,1108.81,316369,213217,8158.67
261025,234374,1140.47,205791,145118,19986.7
305463,260762,1199.55,344533,213810,18119.2
426726,296784,1472.38,351878,242331,7546.54
280364,294493,974.889,329024,233516,8639.44
315985,239751,1349.64,416806,279488,15333.2
446149,292288,1563.03,465192,280442,5602.16
276800,270561,1047.62,299406,196396,7123.3
199899,239782,853.695,296031,202183,5949.59
367824,267247,1409.41,332850,222993,11158
253549,212993,1218.98,233374,163672,21551.7
199908,212557,963.081,259154,177156,3388.86
450968,265519,1739.25,460551,303514,6016.54
223222,195576,1168.8,203975,136837,11021.1
314306,238723,1348.23,247126,178107,18510.4
260597,234424,1138.33,460959,257637,13919.8
324092,248593,1335,327282,196035,3257.17
320695,221910,1479.88,259805,183269,6787.35
298842,272170,1124.36,490792,328381,5168.93
319249,220121,1485.15,234976,162116,2672.26
336094,281003,1224.77,475773,318272,7946.7
270002,231394,1194.86,307662,202180,11416.8
238979,236722,1033.77,278381,195397,353.568
217393,217478,1023.63,324423,216740,7921.89
220099,200721,1122.86,259258,157210,2566.73
310931,272771,1167.27,322720,211046,4210.56
279240,222947,1282.57,275614,187429,4046.31
183011,226181,828.573,318748,224094,4040.62
226591,253143,916.615,272753,188664,2261.08
216852,235441,943.153,300132,191316,4217.62
269044,225354,1222.53,275328,172894,5133.37
385370,254806,1548.74,359104,286508,1458.92
482241,350386,1409.35,425136,271512,8717.23
252153,220553,1170.72,172439,122666,3846.76
281609,214541,1344.14,308244,192865,20932.1
248777,212034,1201.46,253452,177954,6115.15
224341,211682,1085.24,249663,166226,11306.9
311570,265260,1202.79,250611,163201,5819.36
204438,177499,1179.43,272052,184444,3383.38
283199,241597,1200.35,180805,131681,6064.06
245207,181649,1382.3,171344,130459,51.3406
344430,205425,1716.91,310354,196528,2582.15
345623,289945,1220.64,511966,284243,6353.4
201237,182899,1126.68,215018,147627,1413.6
261660,212270,1262.3,269914,178822,9404.21
287985,201472,1463.77,260121,175823,6240.68
241511,216132,1144.26,218924,134022,8113.4
264301,208030,1301.02,231764,164039,1502.81
277241,199670,1421.86,189709,154444,1760.95
374696,265347,1446,365926,230784,6766.66
232648,222108,1072.61,218893,137159,2851.23
282421,210218,1375.72,291610,176212,4685.9
274892,242097,1162.71,360277,245771,4711.86
181616,214056,868.844,253846,188869,3268.35
336139,217698,1581.13,350536,215367,2665.28
234648,234068,1026.55,256600,195837,2005.82
268034,199159,1378.18,278056,199759,1952.37
182008,192906,966.158,201794,131387,2345.66
342472,232034,1511.39,425718,242133,18550.1
229495,225266,1043.23,220739,158234,5527.42
308599,281591,1122.24,301778,202809,8425.72
412650,248616,1699.68,485736,274273,8386.85
245179,241733,1038.61,333257,223707,15247.5
385164,298358,1321.96,407854,288063,5395.35
287070,233118,1261.02,223540,163924,3744.26
384140,223446,1760.47,360013,234938,2691.8
187752,215141,893.656,249433,172603,1884.33
246934,269612,937.88,405354,271727,7352.58
222591,316037,721.231,362302,238130,1952.86
211717,223893,968.329,359692,247874,3485.47
214027,207911,1054.16,270261,186759,8093.86
237776,202015,1205.31,222918,155193,4059.9
295176,220237,1372.46,327438,202723,23978.9
241559,158446,1561.2,251778,171663,5508.32
186434,208052,917.615,288450,179909,4476.76
191790,197470,994.573,260114,179692,8660.66
187638,195614,982.28,256492,187914,1861.24
282981,200924,1442.22,425666,236184,4541.53
330023,210904,1602.35,331341,204023,2199.52
247551,191542,1323.47,248148,166993,3776.77
366316,247886,1513.26,310408,206241,3139.59
380482,268477,1451.22,316418,203341,5072.62
290643,244545,1217.03,202392,147104,1536.72
339159,251914,1378.65,294492,186242,6757.98
229592,213045,1103.56,230340,155388,2312.24
376263,241701,1594.12,219039,140827,2081.31
200210,209428,978.945,271017,179823,3132.07
439652,291801,1542.85,316104,209109,13345.1
304753,240946,1295.18,246190,171415,7623.21
408584,298889,1399.82,282505,166647,2918.43
359787,239300,1539.61,213116,146605,3493.96
294966,244590,1234.93,173021,116883,1709.24
349231,237481,1505.86,283538,182351,3663.11
248188,217673,1167.56,197704,140959,3344.82
432952,311380,1423.82,244145,163464,1700.79
380242,308338,1262.8,274618,176991,2116.5
312631,235452,1359.68,293220,185189,8057.93
350288,228374,1570.69,191734,126226,4704.21
223418,217973,1049.6,199198,136290,1428.48
279085,243505,1173.63,181073,130257,1432.5
290299,208794,1423.74,170243,111444,8765.98
259118,213938,1240.26,183754,132850,3666.4
374416,250457,1530.81,318756,199495,4172.67
202337,267653,774.125,170566,124867,2326.86
204299,180045,1161.97,278330,224322,293.764
302292,269425,1148.92,252245,167511,11167.3
208182,152456,1398.37,334673,207965,3852.7
163719,206457,812.029,231313,116381,2387.76
327539,268628,1248.59,414540,286381,2594.27
181506,185885,999.898,213500,148714,2457.41
319690,265275,1234.06,324042,197944,10147.8
212333,188980,1150.56,168274,123468,422.039
311480,241250,1322.1,168497,106652,5769.84
347364,223322,1592.78,190583,125602,2890.89
248125,245784,1033.78,305148,222761,9547.08
434199,273597,1625.12,275021,182139,11825.5
261091,167250,1598.56,287652,164505,2316.07
367158,214710,1751.11,253331,156231,7525.34
363672,246422,1511.26,245408,169720,6786.07
341719,235612,1485.18,217606,141429,2319.74
167032,231982,737.319,247292,173724,8481.21
295292,268980,1124.18,210928,136936,8763.61
320870,239176,1373.76,240304,145535,2545.78
287541,196820,1496.03,273085,174942,13357.8
283960,222068,1309.42,279440,184581,4771.88
235288,251297,958.767,285299,203451,5948.93
215831,190506,1160.14,156373,122223,277.672
259332,233721,1136.21,224289,175704,-39.2735
246334,174272,1447.49,316032,193897,2567.94
369687,270388,1400.08,310438,223342,1146.45
283313,230530,1258.47,298922,215826,1624.56
337709,237059,1458.78,355623,211065,6895.06
285130,210410,1387.65,190390,133729,15661.8
216729,205505,1079.93,201271,134741,4980.45
271422,170930,1626.04,240667,150999,3973.39
219237,199048,1127.86,309358,214470,14651.8
373482,216721,1764.7,481606,289911,14455.6
255298,199540,1310.16,242423,162821,1684.51
335438,249510,1376.68,299402,197491,3853.78
400742,265729,1544.28,288401,170804,4619.97
195550,170014,1177.84,158920,126160,617.009
380688,287864,1354.2,262685,192100,6288.68
220170,212418,1061.38,334902,217711,8261.23
256242,205435,1277.27,446072,275080,9625.44
296598,207981,1460.34,319416,182341,3720.54
453512,284232,1633.91,354091,276580,452.615
392584,253207,1587.7,292884,191318,4146.11
300798,214247,1437.72,190454,128318,2866.94
389023,242708,1641.34,223450,138398,7304.59
400040,283382,1445.57,388880,237668,7749.25
311589,224948,1418.43,344323,174924,5462.86
193620,182070,1088.99,306143,206839,9660.49
353907,215591,1681.01,440198,243377,32049.6
348018,220596,1615.51,310713,201802,3883.32
321279,236942,1388.52,395782,254174,4302.69
